Rk,Player,Age,Pos,MP,TRB,AST,STL,BLK,TOV,PTS,Player-additional
547,Andrew Wiggins,29,SF,1842,5.3,3.1,1.2,1.0,1.9,21.1,wiggian01
548,Alondes Williams,25,SG,4,0.0,9.0,0.0,0.0,0.0,45.0,willial06
549,Brandon Williams,25,PG,487,4.3,5.6,1.8,0.4,2.9,20.3,willibr03
550,Cody Williams,20,SG,1060,3.8,2.0,0.8,0.5,1.5,7.8,willico04
551,Grant Williams,26,PF,479,6.2,2.8,1.4,1.0,2.1,12.5,willigr01
552,Jalen Williams,23,SG,2237,5.9,5.7,1.8,0.7,2.4,24.0,willija06
553,Jaylin Williams,22,PF,784,12.0,5.5,1.0,1.3,1.6,12.8,willija07
554,Jeenathan Williams,25,SG,147,3.2,2.2,2.0,1.0,3.4,15.9,willije02
555,Kenrich Williams,30,PF,1132,7.7,3.1,1.4,0.3,1.2,13.9,willike04
556,Mark Williams,23,C,1171,13.7,3.4,1.0,1.7,2.2,20.6,willima07
557,Patrick Williams,23,PF,1576,5.4,2.8,1.1,0.7,2.0,12.9,willipa01
558,Robert Williams,27,C,351,12.1,2.2,1.3,3.4,1.7,11.9,williro04
559,Vince Williams Jr.,24,SG,499,7.1,4.0,0.9,0.5,2.4,12.9,willivi01
560,Ziaire Williams,23,SF,1541,6.7,2.0,1.4,0.7,1.6,14.8,willizi02
561,Zion Williamson,24,PF,857,9.1,6.7,1.6,1.1,3.8,31.0,willizi01
562,Jalen Wilson,24,PF,2031,4.8,2.6,0.7,0.1,1.4,13.3,wilsoja03
563,James Wiseman,23,C,5,7.2,0.0,0.0,0.0,0.0,43.2,wisemja01
564,Isaiah Wong,24,SG,265,4.3,3.8,1.5,0.0,2.4,16.3,wongis01
565,Delon Wright,32,PG,635,3.7,4.4,2.0,0.7,1.2,7.1,wrighde01
566,Guerschon Yabusele,29,C,1895,7.5,2.8,1.1,0.5,1.7,14.6,yabusgu01
567,Jahmir Young,24,PG,30,3.6,7.2,0.0,0.0,1.2,13.2,youngja05
568,Trae Young,26,PG,2739,3.1,11.6,1.2,0.2,4.7,24.2,youngtr01
569,Ivica Zubac,27,C,2624,13.9,2.9,0.8,1.2,1.7,18.4,zubaciv01
